IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
C14orf72		CHMP1A		TUBA4A	
PPP2R5C		C16orf55		ACCN4	
DYNC1H1		SPIRE2		RIMBP3C	
WDR20		TCF25		RIMBP3B	
TECPR2		LOC100130015		CCDC116	
TRAF3		USP7		EPHA4	
AMN		C16orf72		PRAME	
CDC42BPB		CAMTA1		LOC648691	
C14orf73		ABR		C22orf15	
MARK3		YWHAE		CHCHD10	
CKB		HS3ST3A1		SMARCB1	
TRMT61A		MYO1C		WDFY1	
C14orf153		HS3ST3B1		ADORA2A	
XRCC3		MGC12916		GGT1	
PPP1R13B		SLC43A2		ASPHD2	
ASPG		FAM18B2		HPS4	
C14orf180		RILP		SRRD	
INF2		NCOR1		SP140	
ADSSL1		PIGL		PIK3IP1	
AKT1		C17orf91		ITM2C	
ZBTB42		MIR22		PATZ1	
KIAA0284		CENPV		GPR55	
PLD4		TRPV2		SFI1	
AHNAK2		NCRNA00188		NCL	
CDCA4		SNORD65		NMUR1	
JAG2		C17orf76		RFPL2	
NUDT14		LOC400578		CHRND	
BRF1		MPRIP		C2orf82	
PACS2		PLD6		NGEF	
88		PEMT		APOL6	
MTA1		RAI1		APOL1	
CRIP1		SREBF1		KLHL29	
CTPS		TOM1L2		CSF2RB	
EDN2		ALKBH5		IQCA1	
HIVEP3		SMCR8		TMPRSS6	
OR11G2		EVPLL		ELFN2	
KLHL33		SLC5A10		CDC42EP1	
TMEM55B		FAM83G		LGALS1	
RNASE10		MFAP4		GALR3	
RNASE11		DPH1		RAMP1	
RNASE12		SLC47A1		TOMM22	
RNASE1		ULK2		JOSD1	
RNASE2		USP22		ILKAP	
NDRG2		KCNJ12		UNC84B	
RNASE7		PAFAH1B1		TRAF3IP1	
ZNF219		KSR1		APOBEC3F	
HNRNPC		KIAA0664		HDAC4	
SLC7A7		NLK		MKL1	
MMP14		VTN		KIF1A	
REM2		SARM1		SNED1	
CDH24		FOXN1		PASK	
ACIN1		UNC119		ANO7	
SLC7A8		RAB34		MFSD2B	
MYH6		SNORD42A		BOK	
MIR208A		RPL23A		CYP2D6	
DHRS4		SNORD4B		ING5	
C14orf167		C17orf63		D2HGDH	
LRRC16B		DHRS13		NEU4	
CPNE6		SEZ6		C2orf85	
LTB4R2		PIPOX		SERHL2	
CIDEB		MYO18A		MCAT	
LTB4R		RAP1GAP2		KIAA1644	
ADCY4		GIT1		PRR5	
NFATC4		EVI2A		PRR5-ARHGAP8	
COCH		NF1		ARHGAP8	
YBX1		RHBDL3		NUP50	
CLDN19		CDK5R1		RIBC2	
LEPRE1		MYO1D		SMC1B	
AKAP6		ACCN1		TTC38	
NPAS3		CCL8		CELSR1	
SLC2A1		AP2B1		BRD1	
WDR65		RASL10B		ZBED4	
SLC25A21		GAS2L2		PIM3	
MPL		CCL16		TRABD	
PTPRF		TRPV3		HDAC10	
ST3GAL3		DHRS11		FAM116B	
B4GALT2		LHX1		SBF1	
CCDC24		CTNS		KLHDC7B	
KLHL28		SHPK		DNMT3A	
MDGA2		ACACA		DTNB	
RPL36AL		TAX1BP3		EMILIN1	
C14orf182		DUSP14		ABHD1	
RNF220		HNF1B		TCF23	
TMEM53		GPR179		PLB1	
ABHD12B		ITGAE		WDR43	
TMX1		ARHGAP23		SNORD53	
C1orf228		SRCIN1		TSSC1	
RPS8		CISD3		NLRC4	
SNORD38A		MLLT6		LTBP1	
SNORD38B		PIP4K2B		RNASEH1	
PTGDR		LASP1		FEZ2	
TCTEX1D4		ARL5C		GALM	
BTBD19		MED1		SFRS7	
PTCH2		NEUROD2		THADA	
SAMD4A		STARD3		PRKCE	
LGALS3		TCAP		ATP6V1E2	
FBXO34		PGAP3		LOC100134259	
PELI2		ERBB2		TTC7A	
NAA30		GRB7		CALM2	
C14orf105		ORMDL3		PSME4	
MUTYH		CSF3		MTIF2	
TOE1		MED24		BCL11A	
C14orf37		SNORD124		TMEM17	
TOMM20L		THRA		VPS54	
DACT1		RAPGEFL1		SLC1A4	
AKR1A1		WIPF2		SPRED2	
DHRS7		RARA		PROKR1	
PPM1A		KRT23		GKN1	
CCDC17		KRTAP2-1		TGFA	
PRKCH		KRT36		SPR	
IPP		KRT16		CCT7	
SYNE2		KRT17		ACTG2	
HSPA2		SC65		DCTN1	
PLEKHG3		FKBP10		LOC100189589	
SPTB		KLHL10		TTC31	
RAB15		NT5C3L		CCDC142	
GPHN		ACLY		LOC151534	
FAM71D		TTC25		LBX2	
LRRC41		CNP		LOXL3	
TMEM229B		DHX58		HK2	
PLEKHH1		GHDC		LOC388965	
ARG2		STAT3		SUCLG1	
RAD51L1		PTRF		TCF7L1	
ACTN1		NAGLU		TGOLN2	
FLJ44817		COASY		CAPG	
KIAA0247		EZH1		SH2D6	
KNCN		WNK4		GNLY	
SLC10A1		PSME3		VPS24	
SLC8A3		AOC2		ASAP2	
MKNK1		G6PC		STARD7	
MOBKL2C		AARSD1		ITPRIPL1	
LOC145474		IFI35		ARID5A	
DPF3		RND2		KIAA1310	
NUMB		MPP2		ZAP70	
C14orf43		PPY		TMEM131	
C14orf45		NAGS		INPP4A	
ENTPD5		TMEM101		TAF1B	
ABCD4		LSM12		NIT2	
PROX2		UBTF		GPR128	
RPS6KL1		SLC4A1		VHL	
PGF		GRN		GHRLOS	
FAM164C		C17orf104		C3orf42	
TMED10		CCDC43		GHRL	
JDP2		ADAM11		ATP2B2	
BATF		C1QL1		CD47	
PDZK1IP1		ACBD4		CD96	
TAL1		HEXIM1		SLC9A10	
ESRRB		ARHGAP27		CCDC80	
VASH1		MAPT		ATG7	
ZDHHC22		LOC100128977		KIAA2018	
TMEM63C		LOC100130148		ZDHHC23	
POMT2		SMTNL2		ZBTB20	
FLRT2		WNT9B		VGLL4	
FOXN3		LOC100272146		MYLK	
TTC7B		C17orf57		KALRN	
GPR68		TBKBP1		CHST13	
CCDC88C		PNPO		PLXNA1	
FBLN5		MED11		MCM2	
TRIP11		CXCL16		MGLL	
RIN3		ZMYND15		TMEM40	
LGMN		SKAP1		C3orf27	
ITPK1		HOXB2		RPN1	
C14orf109		LOC404266		RAB7A	
ASB2		HOXB5		CCDC48	
OTUB2		HOXB8		IQSEC1	
SERPINA1		VMO1		NUP210	
CLMN		UBE2Z		ARMC8	
C14orf49		PHOSPHO1		TXNDC6	
GLRX5		MINK1		GYG1	
SNHG10		DLX4		FGD5	
PAPOLA		XYLT2		WWTR1	
SETD3		EME1		RNF13	
ELAVL4		LRRC59		SELT	
ADAMTS17		CHAD		MBNL1	
LASS3		ACSF2		SLC33A1	
ALDH1A3		MYCBPAP		TIPARP	
CHSY1		CACNA1G		PA2G4P4	
PCSK6		SPAG7		KPNA4	
OR4F6		NME2		B3GALNT1	
FAM138E		NME1-NME2		WDR49	
CDKN2C		ZFP3		TERC	
EPS15		ZNF232		TNIK	
GOLGA6L6		C1orf173		PLD1	
CYFIP1		HLF		FNDC3B	
NIPA2		TMEM100		TNFSF10	
NRD1		PCTP		ZMAT3	
SNRPN		MSI2		FAM131A	
ATP10A		CUEDC1		THPO	
GABRB3		LHX8		EPHB3	
ZFYVE9		EPX		SENP2	
ZCCHC11		LPO		IGF2BP2	
APBA2		HSF5		TRA2B	
FAM189A1		04-9__		ETV5	
DKFZP434L187		PPM1E		BCL6	
FAM159A		YPEL2		LPP	
TRPM1		TMEM49		TP63	
KLF13		HEATR6		LRRC15	
OTUD7A		LOC653653		C3orf21	
GREM1		USP32		OSTalpha	
FMN1		TBX2		TM4SF19	
AVEN		TBX4		LRRC33	
CHRM5		SMARCD2		MFI2	
SCP2		CSHL1		TGFBR2	
PODN		SCN4A		IL5RA	
SLC1A7		ICAM2		TRNT1	
CPT2		TEX2		GPD1L	
LOC145845		LOC146880		CMTM7	
LRP8		RGS9		GLB1	
BMF		FAM64A		CLASP2	
BUB1B		PITPNM3		CSRNP1	
PAK6		PRKCA		XIRP1	
DISP2		HELZ		CX3CR1	
IVD		PITPNC1		TRAK1	
BAHD1		C17orf100		SNRK	
CHST14		MED31		ZNF445	
DNAJC17		LOC440461		CLEC3B	
SPINT1		ARSG		LARS2	
DLL4		ABCA9		LIMD1	
NDUFAF1		ALOX12		CCR2	
LTK		RNMTL1		CCR5	
RPAP1		SOX9		MYL3	
MGA		ASGR1		LOC100129354	
MAPKBP1		SLC39A11		KIF9	
JMJD7-PLA2G4B		DLG4		FBXW12	
PLA2G4B		ACADVL		PLXNB1	
SPTBN5		CDC42EP4		CELSR3	
PLA2G4E		SDK2		SLC26A6	
PLA2G4D		GABARAP		WDR6	
GANC		EIF5A		DALRD3	
CAPN3		GPS2		C3orf62	
TGM5		DNAI2		USP4	
SERF2		NEURL4		BSN	
MIR1282		BTBD17		MST1	
LDLRAD1		GPRC5C		RNF123	
SPG11		KCTD11		RBM6	
PATL2		ACAP1		BHLHE40	
DUOX2		CD300E		GNAI2	
DUOX1		RAB37		SEMA3B	
SHF		TNK1		HYAL1	
SLC30A4		GRIN2C		ZMYND10	
C15orf21		USH1G		DOCK3	
CDCP2		PLSCR3		VPRBP	
SSBP3		C17orf61		RBM15B	
DUT		GGA3		PPM1M	
CEP152		MRPS7		NT5DC2	
SECISBP2L		MIF4GD		ITIH1	
GALK2		TMEM102		CACNA2D3	
ATP8B4		FGF11		C3orf63	
TNFAIP8L3		CASKIN2		HESX1	
CYP19A1		TSEN54		FLNB	
GLDN		LLGL2		PSMD6	
BCL2L10		RECQL5		ADAMTS9	
KIAA1370		LOC643008		UBA3	
DHCR24		LOC100130933		FOXP1	
BSND		GALK1		EIF4E3	
RAB27A		UNK		RYBP	
GCOM1		ZBTB4		ROBO1	
LIPC		TRIM47		C3orf32	
GCNT3		GALR2		SRGAP3	
ANXA2		EXOC7		IL17RE	
NARG2		POLR2A		TBC1D23	
RORA		RNF157		WDR1	
C2CD4B		AANAT		FGFRL1	
TLN2		UBE2O		UBE2D3	
TPM1		RHBDF2		COL25A1	
RAB8B		CYGB		EXOSC9	
HERC1		PRCD		CTBP1	
RBPMS2		ST6GALNAC2		ZNF718	
ANKDD1A		ST6GALNAC1		LARP1B	
CILP		TNFSF13		PHF17	
SNAPC5		TNFSF12-TNFSF13		SCLT1	
SNORD18A		SENP3		C4orf33	
RPL4		C17orf95		MAEA	
SNORD18B		JMJD6		MAML3	
SNORD16		EIF4A1		SCOC	
LCTL		SNORA48		RPS3A	
MAP2K5		SNORD10		SH3D19	
PIAS1		SNORA67		TIGD4	
CALML4		MPDU1		GRIA2	
CLN6		SOX15		TAPT1	
CORO2B		NXN		LDB2	
C15orf28		09-9__		TACC3	
ANP32A		SYNGR2		CDKN2AIP	
MIR548H4		LOC283999		ZFYVE28	
PAQR5		SOCS3		MFSD10	
PPAP2B		DNAH2		C4orf10	
TLE3		DNAH17		NOP14	
THSD4		LGALS3BP		GRK4	
GRAMD2		CANT1		RGS12	
BRUNOL6		C1QTNF1		HGFAC	
HEXA		ENGASE		LRPAP1	
C15orf34		CBX4		LOC401127	
TMEM202		LOC284023		C4orf34	
C1orf168		RNF213		UBE2K	
ADPGK		KCNAB3		RBM47	
CD276		RPTOR		TXK	
LOXL1		FLJ90757		FIP1L1	
STOML1		BAIAP2		EXOC1	
GOLGA6A		AATK		HOPX	
ISLR		LOC388428		C4orf50	
STRA6		GUCY2D		PDE6B	
CCDC33		C17orf55		MYL5	
CYP11A1		TMEM105		MFSD7	
SEMA7A		BAHCC1		KIAA0232	
CYP1A2		ALOX15B		TBC1D14	
CSK		FSCN2		STATH	
ULK3		NPLOC4		PF4	
NEIL1		TSPAN10		SORCS2	
SNUPN		PDE6G		SCARB2	
ODF3L1		C17orf90		STBD1	
C15orf27		CCDC137		ABLIM2	
TBC1D2B		ARHGDIA		PLAC8	
SH2D7		NPB		COQ2	
ACSBG1		PCYT2		AFF1	
DNAJA4		SIRT7		KLHL8	
ADAMTS7		LRRC45		FAM13A	
MORF4L1		RAC3		TIGD2	
RASGRF1		ALOXE3		SLC2A9	
BCL2A1		CCDC57		ROPN1L	
FAH		CSNK1D		SLC12A7	
ARNT2		SECTM1		MCC	
KIAA1199		FOXK2		TMED7-TICAM2	
IL16		PER1		TICAM2	
FSD2		VAMP2		IL3	
WHAMM		FN3K		TCF7	
C15orf40		TBCD		PHF15	
BTBD1		C17orf59		CLPTM1L	
BNC1		B3GNTL1		H2AFY	
SH3GL3		RANGRF		SPOCK1	
SCAND2		SLC25A35		HNRNPA0	
NMB		ARHGEF15		SIL1	
AKAP13		LOC100128288		SNHG4	
ISG20		NTN1		MATR3	
ACAN		STX8		SNORA74A	
ABHD2		USP43		SLC23A1	
MIR9-3		GAS7		MGC29506	
RHCG		TNFRSF9		C5orf32	
MESP2		PARK7		HARS2	
TACSTD2		FAM41C		HARS	
ZNF710		CIDEA		DIAPH1	
SEMA4B		SEH1L		PCDH1	
GABARAPL3		CEP192		SPRY4	
CRTC3		C18orf1		FGF1	
FURIN		CABLES1		NR3C1	
MAN2A2		TTC39C		TRIO	
SLCO3A1		IMPACT		PRELID2	
FAM174B		LPHN2		PPP2R2B	
CHD2		KCTD1		MIR145	
RGMA		CHST9		LOC728264	
FGGY		DSC3		PDE6A	
NPHP4		DSG2		LPCAT1	
KCNAB2		ZNF397OS		PDGFRB	
LMF1		INO80C		C5orf62	
SOX8		TGIF1		SLC36A3	
EMP2		BRUNOL4		SLC36A1	
LOC146336		ATP5A1		SPARC	
SOCS1		HAUS1		GLRA1	
PRM3		RNF165		GALNT10	
C1QTNF8		TTLL7		C5orf4	
LITAF		MRO		ITK	
TXNDC11		LOC642597		CYFIP2	
ZC3H7A		MCOLN2		IL12B	
CACNA1H		WDR63		FBXL7	
RUNDC2A		NARS		LOC728613	
MPG		FLJ39609		FAM134B	
TPSG1		C1orf52		FAM196B	
TPSB2		CCBE1		DOCK2	
TPSAB1		PMAIP1		KCNIP1	
TPSD1		CDH20		GABRP	
UBE2I		DDAH1		SH3PXD2B	
BAIAP3		CYR61		CPEB4	
UNKL		SERPINB3		RNF44	
MKL2		COL24A1		UNC5A	
PARN		ODF2L		FGFR4	
C16orf91		CYB5A		PRELID1	
CCDC154		ZADH2		RAB24	
ABCC6P2		HS2ST1		MXD3	
CLCN7		LOC284276		LMAN2	
C16orf38		SAMD11		SLC34A1	
TELO2		ADNP2		F12	
C16orf45		LMO4		FAM193B	
IFT140		PARD6G		COL23A1	
TMEM204		RERE		AACSL	
MYH11		ADCYAP1		RUFY1	
ABCC1		KLHL17		MAML1	
NOMO3		NOC2L		GFPT2	
NFIA		LRRC8B		FLT4	
CRAMP1L		LRRC8C		OR2Y1	
XYLT1		LRRC8D		MGAT1	
MAPK8IP3		SLC2A7		TRIM7	
NME3		RDH8		TRIM41	
MRPS34		C19orf66		GNB2L1	
EME2		ANGPTL6		PDCD6	
SMG1		ICAM4		RNASEN	
ITPRIPL2		ICAM1		AHRR	
SYT17		ICAM5		SPEF2	
C16orf88		S1PR5		WDR70	
RPL3L		AP1M2		FYB	
RPS2		HMHA1		FBXO4	
RNF151		CARM1		SLC9A3	
HBZ		GPX4		EMB	
UMOD		SBNO2		PPAP2A	
ACSM1		KANK2		RNF138P1	
SLC9A3R2		TSPAN16		C5orf43	
DCUN1D3		RAB3D		MAST4	
NTHL1		TMEM205		PIK3R1	
TSC2		CCDC159		MRPS36	
LOC100271836		LPPR2		F2RL2	
SLC7A5P2		RGL3		IQGAP2	
CHD5		ZNF433		LHFPL2	
OTOA		ZNF844		SERINC5	
RAB26		STK11		ZDHHC11	
RRN3P3		C19orf26		FAM81B	
USP31		ATP5D		GPR150	
RNPS1		C19orf23		GLRX	
MIR940		CIRBP		C5orf27	
ABCA3		C19orf24		CAST	
COG7		BEST2		LNPEP	
PRKCB		RNASEH2A		ATG5	
NTN3		RTBDN		PDSS2	
TBC1D24		EFNA2		DDO	
AMDHD2		MAST1		FYN	
ATP6V0C		NFIX		NEDD9	
RNF207		CACNA1A		DSE	
NSMCE1		MUM1		FAM26F	
IL4R		NANOS3		ASF1A	
KCTD5		C19orf57		MAN1A1	
IL21R		CC2D1A		C6orf170	
GTF3C1		PODNL1		STX7	
PRSS27		DCAF15		RANBP9	
SRRM2		DAZAP1		TNFAIP3	
XPO6		SLC2A5		PERP	
APOB48R		CD97		HECA	
CLN3		PTGER1		CD83	
SULT1A2		APC2		GPR126	
SULT1A1		NDUFB7		PLAGL1	
PRSS21		ZNF644		SHPRH	
ZG16B		ADAMTSL5		STXBP5	
ATP2A1		PLK5P		PCMT1	
TMPRSS8		NOTCH3		RAET1E	
CD19		EPHX3		RAET1G	
SPNS1		BRD4		AKAP12	
LAT		AKAP8L		ZBTB2	
RRN3P2		CYP4F3		MYCT1	
RUNDC2C		CYP4F12		JARID2	
ICMT		CYP4F11		IPCEF1	
SLC7A5P1		TPM4		OPRM1	
SPN		EPS15L1		DTNBP1	
MAZ		NWD1		ARID1B	
PRRT2		MYO9B		SYNJ2	
MVP		HAUS8		SYTL3	
FLYWCH1		USE1		EZR	
HIRIP3		ANO8		OSTCL	
FAM57B		GTPBP3		AGPAT4	
ALDOA		SLC27A1		GMDS	
GDPD3		FCHO1		PACRG	
LOC100271831		ATP8B3		RPS6KA2	
CORO1A		SLC5A5		GPR31	
LOC606724		ARRDC2		FAM120B	
PKMYT1		REXO1		FAM8A1	
PAQR4		PIK3R2		KIF13A	
LOC595101		PGPEP1		RNF144B	
CD2BP2		SSBP4		MBOAT1	
TBC1D10B		ISYNA1		FLJ22536	
DCTPP1		KLF16		DCDC2	
ITGAL		UBA52		HIST1H2BD	
ZNF689		KLHL26		HCG11	
CLDN9		COMP		POM121L2	
SNORA30		UPF1		WRNIP1	
SRCAP		GDF1		ZSCAN12L1	
PHKG2		LASS1		SCAND3	
C16orf93		SFRS14		TRIM27	
CCDC64B		SLC25A42		OR10C1	
ZNF629		LOC729991-MEF2B		OR2H1	
STX1B		MEF2B		OR2H2	
ZNF646		RFXANK		GABBR1	
VKORC1		HAPLN4		ZFP57	
PRSS36		TM6SF2		LOC285830	
PYCARD		NDUFA13		PPP1R11	
TRIM72		TSSK6		RNF39	
ITGAD		YJEFN3		TRIM10	
ARMC5		CILP2		PPP1R10	
TGFB1I1		LPAR2		KIAA1949	
CSDAP1		ZNF90		NRM	
C16orf67		ZNF486		TUBB	
ZNF213		MKNK2		FLOT1	
RGS11		ZNF826		DDR1	
OR1F1		MOBKL2A		VARS2	
OR1F2P		MIR34A		GTF2H4	
ACOT7		ZNF429		MUC21	
MEFV		ZNF100		CCHCR1	
CLUAP1		JSRP1		TCF19	
BTBD12		TGFBR3		HCG27	
AXIN1		RPSAP58		TNF	
CREBBP		BRDT		SNORA38	
ADCY9		TMPRSS9		BAT2	
SRL		GADD45B		C6orf47	
LOC100134368		BTBD8		BAT4	
CORO7		GNG7		CSNK2B	
NME4		GFI1		LY6G5C	
DECR2		C19orf12		DDAH2	
C16orf5		TLE2		LSM2	
LOC342346		ZNF536		SLC44A4	
FAM100A		GNA11		EHMT2	
MYLK3		H6PD		ZBTB12	
MGRN1		TSHZ3		C4B	
RAB11FIP3		ZNF507		C4A	
PHKB		BRUNOL5		TNXB	
ABCC12		RHPN2		PPT2	
12-9__		GPATCH1		PBX2	
LOC440335		WDR88		GPSM3	
SIAH1		NFIC		NOTCH4	
N4BP1		SLC7A10		HLA-DOB	
ESPN		PEPD		TAP2	
GLYR1		CHST8		PSMB8	
ADCY7		C19orf77		TAP1	
SNX20		PDCD2L		HLA-DMB	
C16orf89		UBA2		BRD2	
TNFRSF25		LOC643719		COL11A2	
PLEKHG5		SPSB1		RXRB	
RBL2		ZNF792		HSD17B8	
MMP2		GRAMD1A		VPS52	
BBS2		SCN1B		B3GALT4	
MT2A		HPN		TAPBP	
MT1M		C19orf28		ZBTB22	
NUP93		FXYD3		DAXX	
CETP		LGI4		SYNGAP1	
CPNE2		FXYD1		SLC22A23	
PLLP		FXYD7		HMGA1	
COQ9		HMG20B		ANKS1A	
CIAPIN1		MAG		TCP11	
DOK4		FFAR3		TULP1	
CCDC102A		GAPDHS		FKBP5	
GPR56		TBXA2R		LOC285847	
GPR97		HSPB6		C6orf126	
DNAJC6		APLP1		SLC26A8	
KATNB1		LRFN3		BRPF3	
CNGB1		ALKBH6		PXT1	
TEPP		CLIP3		KCTD20	
C16orf80		TBCB		KCNK17	
NDRG4		POLR2I		DAAM2	
GOT2		COX7A1		FOXP4	
SOLH		ZNF565		TFEB	
C16orf11		ZNF146		C6orf132	
TAS1R1		TJP3		TRERF1	
ZBTB48		MRPL54		C6orf226	
RAB40C		APBA3		CNPY3	
LOC283867		MATK		PEX6	
CDH5		ZFR2		KLHDC3	
KLHL21		DPF1		C6orf153	
BEAN		PPP1R14A		PTK7	
TK2		C19orf33		SRF	
CKLF		YIF1B		VEGFA	
CMTM4		KCNK6		SLC29A1	
CA7		SPRED3		RUNX2	
CDH16		RYR1		CDYL	
CES3		ACTN4		CRISP3	
C16orf70		CAPN12		PGK2	
KIAA0895L		LGALS7		TRAM2	
EXOC3L		LGALS7B		FARS2	
ELMO3		ECH1		LY86	
E2F4		FBXO17		LOC285780	
PLEKHG4		SYCN		RREB1	
HSD11B2		DAPK3		KCNQ5	
ATP6V0D1		GMFG		CD109	
AGRP		LOC100129935		FILIP1	
FAM65A		PSMC4		BMP6	
PARD6A		ZBTB7A		PHIP	
ACD		MAP2K2		ELOVL4	
WFIKKN1		SPTBN4		TTK	
SLC12A4		SHKBP1		IBTK	
DUS2L		LTBP4		KIAA1009	
NFATC3		EGLN2		SYNCRIP	
ESRP2		CYP2F1		SFRS13B	
SLC7A6		CYP2S1		MDN1	
SLC7A6OS		AXL		BACH2	
SMPD3		SIRT6		PCOLCE	
THAP3		ANKRD24		TFR2	
C16orf13		TMEM91		GNB2	
ZFP90		DEDD2		ACHE	
TMCO7		PAFAH1B3		AP1S1	
HAS3		PRR19		PLOD3	
CIRH1A		LIPE		MYL10	
VPS4A		STAP2		CUX1	
PDF		SH3GL1		SH2B2	
COG8		PHLDB3		PRKRIP1	
CYB5B		XRCC1		CYP2W1	
FAM195A		KCNN4		C7orf50	
WDR90		LYPD5		SRPK2	
PDPR		HDGF2		MIR339	
AARS		LRG1		C7orf60	
ST3GAL2		APOC1P1		GPR85	
DNAJC11		SEMA6B		MDFIC	
MTSS1L		RELB		ST7OT4	
VAC14		BLOC1S3		ST7OT1	
ZNF19		CKM		ST7	
AP1G1		ABCA4		ZFAND2A	
ATXN1L		PPP1R13L		IQUB	
ZNF821		ERCC1		ARF5	
ZFHX3		RTN2		ARL4A	
STUB1		FLJ40125		SND1	
JMJD8		GIPR		IRF5	
WDR24		RSPH6A		LOC407835	
LOC283922		SYMPK		TSPAN33	
FBXL16		IRF2BP1		TMEM209	
MLKL		TNFAIP8L1		MEST	
ZNRF1		MYPOP		MIR335	
LDHD		CCDC61		TMEM140	
CTRB1		CCDC8		C7orf49	
BCAR1		FKRP		DGKI	
ADAT1		GRLF1		ZC3HAV1	
IL23R		CCDC9		PARP12	
METRN		PRR24		CLEC5A	
FAM173A		SLC8A2		EPHA1	
HAGHL		GLTSCR1		CUL1	
NARFL		EHD2		PDIA4	
CENPN		KDELR1		ZNF786	
C16orf61		GRIN2D		ZNF212	
MSLN		LMTK3		MICALL2	
CMIP		SULT2B1		ZNF767	
MSLNL		DBP		ZNF862	
CDH13		MAMSTR		RARRES2	
HSBP1		RASIP1		LOC728743	
OSGIN1		IZUMO1		GIMAP5	
HSDL1		PPP1R15A		ABP1	
ADAD2		RUVBL2		CDK5	
COTL1		LHB		SLC4A2	
KIAA0513		PPFIA3		ASB10	
FAM92B		HRC		NUB1	
PRR25		SLC17A7		RHEB	
KIAA0182		F3		PRKAG2	
C16orf74		C19orf76		DNAJB6	
IRF8		CPT1C		PTPRN2	
LOC732275		TSKS		ELFN1	
C16orf68		FUZ		MAD1L1	
FBXO31		IL4I1		FAM20C	
ZCCHC14		FLJ26850		OSBPL3	
JPH3		C19orf41		LFNG	
LOC100129637		MYH14		IQCE	
SLC7A5		KCNC3		AMZ1	
CA5A		POLD1		GNA12	
BANP		SPIB		CPVL	
ZNF469		LRRC4B		LOC646762	
ZFPM1		CLEC11A		C7orf41	
ZC3H18		CTU1		CARD11	
MVD		IGLON5		ZNRF2	
MGC23284		VSIG10L		MIR550-1	
SNAI3		SIGLEC10		GARS	
RNF166		LOC100129083		AQP1	
FAM38A		SIGLEC6		MIR550-2	
APRT		NCRNA00085		HERPUD2	
GALNS		FPR1		EEPD1	
PABPN1L		PPP2R1A		AOAH	
CBFA2T3		PTPRS		STARD3NL	
ACSF3		ZNF578		C7orf10	
C16orf81		VN1R4		FLJ35390	
CDH15		CNN3		RASA4P	
ANKRD11		LOC284379		ZMIZ2	
SPG7		MIR1323		C7orf40	
DEPDC1		MYADM		SNORA9	
RPL13		CACNG7		CCM2	
CARHSP1		CACNG8		NACAD	
DPEP1		MIR935		RAMP3	
C16orf7		CNOT3		ADCY1	
SPIRE2		TSEN34		TNS3	
TCF25		RPS9		FOXK1	
DEF8		CDC42EP5		RADIL	
DBNDD1		LAIR2		IKZF1	
USP7		LILRB4		GRB10	
CAMTA1		FCAR		WIPI2	
ABR		EPS8L1		SLC29A4	
BHLHA9		TNNT1		ACTB	
MYO1C		C19orf51		CCT6A	
COX10		TNNI3		PSPH	
SLC43A2		HSPBP1		SUMF2	
FAM18B2		FAM71E2		PHKG1	
RILP		IL11		FSCN1	
PRPF8		TMEM190		ZNF815	
RPH3AL		RPL28		PRKAR1B	
NCOR1		ISOC2		RAC1	
PIGL		ZNF628		VKORC1L1	
CENPV		NAT14		CALN1	
WDR81		SSC5D		POM121	
NCRNA00188		ZNF581		FKBP6	
SNORD65		ZNF580		LAT2	
C17orf76		SAFB		CLIP2	
SERPINF2		ZNF542		STAG3L2	
SERPINF1		LONP1		YWHAG	
LOC400578		BSG		SRCRB4D	
SMYD4		ZNF154		ZP3	
MPRIP		ZNF417		PHTF2	
PLD6		FUT3		C7orf23	
NT5M		ZSCAN1		CDK14	
RAI1		ZNF497		CDK6	
SREBF1		HCN2		SGCE	
MIR33B		FGF22		ADAP1	
TOM1L2		CRB3		ZNF789	
ATPAF2		TNFSF14		ZNF394	
MYO15A		TRIP10		ZNF498	
ALKBH5		AGRN		TRIM4	
FLII		SH2D3A		MCM7	
EVPLL		PALM		GAL3ST4	
LOC339240		C1orf200		STAG3	
RTN4RL1		PIK3CD		GATS	
CCDC144B		INSR		PVRIG	
TBC1D28		ARHGEF18		MSRA	
SLC5A10		C19orf45		T-SP1	
FAM83G		FCER2		RP1L1	
EPN2		CLEC4G		SOX7	
DPH1		EVI5L		ANGPT1	
SLC47A1		MAP2K7		C8orf12	
OVCA2		PTBP1		FAM167A	
ALDH3A1		ELAVL1		TRPS1	
SMG6		LPPR3		TNFRSF11B	
AKAP10		AZU1		DEPDC6	
USP22		LASS4		ZHX2	
MNT		NDUFA7		FAM83A	
PAFAH1B1		RPS28		FBXO32	
KSR1		PRTN3		FAM91A1	
LGALS9		MIR137		TRIB1	
KIAA0664		ELANE		MYC	
NLK		MYO1F		PVT1	
VTN		MED16		MIR1205	
SARM1		ARID3A		MIR1207	
UNC119		SNAP25		FAM49B	
RPL23A		SNRPB2		ASAP1	
SNORD42A		BFSP1		TG	
SNORD4B		OVOL2		SLA	
SNORD4A		PET117		NDRG1	
TLCD1		RIN2		ZFAT	
TRAF4		INSM1		TRAPPC9	
MIR451		NKX2-4		EIF2C2	
MIR144		NKX2-2		DENND3	
SEZ6		PAX1		PTP4A3	
PIPOX		C20orf56		BAI1	
MYO18A		SSTR4		LY6D	
TIAF1		NOP56		ZFP41	
RAP1GAP2		SNORD110		TOP1MT	
ABHD15		SNORA51		GSDMD	
